1,1,4
1,2057,2
1,529,5
1,1751,4
1,282,3
1,699,4
1,1463,5
1,559,2
1,468,1
1,1464,2
1,1092,5
1,2173,2
1,1250,5
1,858,2
1,679,5
1,1539,3
1,2624,5
1,2215,5
1,2788,3
1,2727,1
1,2957,4
1,2871,1
1,1156,1
1,334,4
1,2981,1
1,1542,2
1,1989,5
1,359,4
1,2001,2
1,475,1
1,824,1
1,2176,2
1,227,2
1,1115,4
1,70,1
1,2211,3
1,1892,1
1,2932,2
1,1605,5
1,1912,4
1,2544,1
1,629,2
1,1911,3
1,2119,3
1,621,1
1,2498,1
1,1998,4
1,398,2
1,2736,1
1,2368,2
1,1198,5
1,2882,3
1,1871,4
1,1621,3
1,523,4
1,1347,3
1,2053,1
1,939,1
1,1449,4
1,1997,2
1,2321,5
1,2178,3
1,89,3
1,1047,2
1,2940,1
1,972,1
1,2874,4
1,1603,5
1,1416,2
1,2741,5
1,180,4
1,2300,3
1,1777,1
1,2710,4
1,2658,4
1,1102,5
1,1966,5
1,342,4
1,2354,4
1,1178,1
1,2248,5
1,1498,1
1,2028,3
1,2839,5
1,547,3
1,68,1
1,2928,5
1,27,1
1,704,2
1,1312,2
1,1723,3
1,1924,1
1,410,3
1,2722,3
1,1559,3
1,2310,5
1,804,3
1,2369,3
1,476,1
1,847,5
1,1702,1
1,979,2
1,486,2
1,2453,5
1,1776,2
1,2945,1
1,641,1
1,428,5
1,350,2
1,2587,1
1,2625,1
1,83,5
1,17,4
1,1936,5
1,1319,2
1,107,2
1,1773,3
1,2664,2
1,1176,1
1,210,3
1,2435,4
1,2469,5
1,1450,2
1,943,5
1,2048,4
1,2442,2
1,1076,3
1,18,3
1,1598,1
1,895,2
1,264,3
1,912,2
1,1572,4
1,2370,5
1,69,3
1,2273,5
1,104,1
1,302,4
1,2687,3
1,1329,5
1,376,2
1,379,2
1,2857,3
1,2959,2
1,440,2
1,1896,4
1,433,3
1,2827,5
1,133,4
1,1914,2
1,2233,4
1,1355,1
1,322,4
1,1194,3
1,2509,1
1,615,2
1,2434,3
1,1596,1
1,2157,3
1,521,2
1,2873,2
1,2592,3
1,1238,3
1,1291,2
1,2448,5
1,1042,2
1,2016,2
1,2249,5
1,2221,2
1,277,3
1,2866,1
1,502,4
1,449,2
1,1506,5
1,1806,5
1,127,1
1,577,5
1,387,3
1,1369,5
1,1249,1
1,541,2
1,314,5
1,1269,4
1,1952,5
1,1831,3
1,2829,1
1,423,5
1,2111,4
1,1448,1
1,258,3
1,2964,3
1,1021,1
1,2425,4
1,1870,3
1,1065,3
1,505,1
1,56,5
1,340,2
1,1879,2
1,1382,4
1,405,2
1,2844,5
1,2963,3
1,1515,4
1,1224,2
1,2886,3
1,2711,3
1,2262,3
1,1041,3
1,2814,2
1,1260,3
1,1275,1
1,2353,4
1,1576,4
1,1517,1
1,32,1
1,1040,1
1,967,4
1,414,5
1,2025,3
1,169,4
1,2038,5
1,1522,5
1,2704,3
1,2206,3
1,975,5
1,1637,5
1,1764,1
1,2347,3
1,2639,1
1,1032,3
1,1985,1
1,605,1
1,1609,1
1,2032,3
1,2510,1
1,1536,3
1,2483,1
1,2298,4
1,733,1
1,1468,2
1,442,3
1,1601,1
1,2093,3
1,8,4
1,2000,4
1,2515,3
1,2306,3
1,35,5
1,2171,1
1,2031,2
1,734,1
1,2155,5
1,551,3
1,2394,3
1,2738,5
1,1845,1
1,1270,4
1,21,2
1,796,3
1,1638,3
1,2826,3
1,243,4
1,871,5
1,1254,3
1,2785,2
1,2537,1
1,2189,3
1,2333,5
1,1274,3
1,737,3
1,2800,4
1,2960,3
1,2944,2
1,237,4
1,1456,1
1,2284,4
1,2616,3
1,2715,5
1,1434,2
1,2642,2
1,2136,4
1,447,5
1,1947,4
1,2007,4
1,1883,2
1,2216,1
1,2440,3
1,1503,2
1,2969,1
1,888,2
1,136,1
1,2613,3
1,52,3
1,1961,5
1,2913,2
1,1338,2
1,477,3
1,272,1
1,1128,2
1,2525,2
1,607,2
1,2224,1
1,1623,4
1,2313,3
1,2462,5
1,168,1
1,2487,5
1,2352,4
1,1373,4
1,2235,1
1,752,3
1,2113,4
1,2776,3
1,110,4
1,1716,5
1,296,1
1,281,4
1,2579,1
1,413,4
1,543,4
1,1579,2
1,1726,2
1,1233,3
1,2452,3
1,346,3
1,2926,4
1,511,4
1,2141,1
1,1158,4
1,164,1
1,637,1
1,2892,1
1,2075,2
1,1735,5
1,1244,5
1,355,5
1,370,4
1,230,5
1,1230,5
1,1057,3
1,540,2
1,1160,2
1,175,3
1,2824,2
1,2041,5
1,958,3
1,2445,1
1,86,1
1,2656,1
1,1324,3
1,2467,3
1,1460,4
1,2578,5
1,2775,5
1,2574,1
1,1575,2
1,2444,3
1,880,3
1,2,5
1,452,3
1,1921,4
1,1610,4
1,2364,4
1,240,4
1,2650,4
1,1815,5
1,186,2
1,2865,3
1,604,3
1,143,5
1,789,2
1,162,4
1,2420,3
1,2508,5
1,2581,3
1,2699,2
1,2643,4
1,2481,3
1,2499,3
1,463,4
1,2888,5
1,613,4
1,855,1
1,1825,3
1,2133,4
1,23,1
1,491,3
1,2169,5
1,253,3
1,1314,5
1,2735,1
1,2604,5
1,2791,3
1,332,1
1,762,5
1,326,5
1,1162,4
1,2767,4
1,377,2
1,1439,5
1,2583,3
1,862,5
1,229,2
1,1574,4
1,1320,3
1,293,4
1,1014,2
1,399,1
1,1442,4
1,1580,5
1,1297,2
1,1358,2
1,2482,1
1,1795,4
1,1359,3
1,2615,3
1,2841,5
1,2005,2
1,2547,3
1,118,3
1,2951,4
1,1410,2
1,408,1
1,2749,1
1,1597,1
1,779,3
1,759,1
1,1666,5
1,2118,5
1,1457,4
1,2292,5
1,1545,2
1,2012,4
